sua_code_2016,sua_name_2016,sa2_code_2016,sa2_name_2016,area_range,zone,count
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,< 200,Business/Commercial,4
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,< 200,Mixed Use/Centre,11
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,< 200,Primary Production,28
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,< 200,Residential,9
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,< 200,Special Use N.E.S,2
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Business/Commercial,19
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Community/Public Use,23
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Conservation/Limited Use,22
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Industrial,5
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Infrastructure/Utilities,24
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Mixed Use/Centre,449
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Primary Production,1327
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Residential,418
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,1000 - 10000,Special Use N.E.S,23
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Business/Commercial,7
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Community/Public Use,9
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Conservation/Limited Use,217
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Industrial,4
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Infrastructure/Utilities,9
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Mixed Use/Centre,32
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Primary Production,6025
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Residential,186
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,> 10000,Special Use N.E.S,4
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,200 - 400,Business/Commercial,13
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,200 - 400,Infrastructure/Utilities,6
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,200 - 400,Mixed Use/Centre,20
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,200 - 400,Primary Production,79
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,200 - 400,Residential,29
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,200 - 400,Special Use N.E.S,2
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,400 - 600,Business/Commercial,4
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,400 - 600,Conservation/Limited Use,2
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,400 - 600,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,400 - 600,Mixed Use/Centre,16
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,400 - 600,Primary Production,36
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,400 - 600,Residential,65
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,600 - 800,Business/Commercial,5
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,600 - 800,Infrastructure/Utilities,3
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,600 - 800,Mixed Use/Centre,46
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,600 - 800,Primary Production,27
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,600 - 800,Residential,105
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,800 - 1000,Business/Commercial,2
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,800 - 1000,Community/Public Use,1
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,800 - 1000,Infrastructure/Utilities,4
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,800 - 1000,Mixed Use/Centre,73
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,800 - 1000,Primary Production,37
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,800 - 1000,Residential,175
1000,Not in any Significant Urban Area (NSW),101021007,Braidwood,800 - 1000,Special Use N.E.S,2
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,< 200,Business/Commercial,1
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,< 200,Conservation/Limited Use,1
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,< 200,Infrastructure/Utilities,5
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,< 200,Mixed Use/Centre,6
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,< 200,Primary Production,19
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,< 200,Residential,135
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,< 200,Special Use N.E.S,68
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Business/Commercial,57
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Community/Public Use,26
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Conservation/Limited Use,50
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Industrial,38
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Infrastructure/Utilities,41
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Mixed Use/Centre,94
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Primary Production,543
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Residential,1218
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,1000 - 10000,Special Use N.E.S,617
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Business/Commercial,2
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Community/Public Use,31
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Conservation/Limited Use,522
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Industrial,1
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Infrastructure/Utilities,72
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Mixed Use/Centre,2
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Primary Production,3030
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Residential,2942
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,> 10000,Special Use N.E.S,35
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,200 - 400,Business/Commercial,1
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,200 - 400,Conservation/Limited Use,2
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,200 - 400,Infrastructure/Utilities,4
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,200 - 400,Mixed Use/Centre,21
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,200 - 400,Primary Production,24
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,200 - 400,Residential,460
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,200 - 400,Special Use N.E.S,141
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,400 - 600,Business/Commercial,3
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,400 - 600,Infrastructure/Utilities,4
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,400 - 600,Mixed Use/Centre,123
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,400 - 600,Primary Production,15
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,400 - 600,Residential,1414
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,400 - 600,Special Use N.E.S,359
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Business/Commercial,5
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Community/Public Use,4
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Conservation/Limited Use,5
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Infrastructure/Utilities,17
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Mixed Use/Centre,153
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Primary Production,30
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Residential,616
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,600 - 800,Special Use N.E.S,372
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,800 - 1000,Business/Commercial,7
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,800 - 1000,Conservation/Limited Use,10
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,800 - 1000,Infrastructure/Utilities,4
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,800 - 1000,Mixed Use/Centre,40
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,800 - 1000,Primary Production,99
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,800 - 1000,Residential,300
1000,Not in any Significant Urban Area (NSW),101021011,Queanbeyan Region,800 - 1000,Special Use N.E.S,331
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,< 200,Primary Production,4
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,1000 - 10000,Conservation/Limited Use,2
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,1000 - 10000,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,1000 - 10000,Primary Production,86
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,> 10000,Conservation/Limited Use,18
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,> 10000,Primary Production,411
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,200 - 400,Conservation/Limited Use,1
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,400 - 600,Primary Production,2
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,600 - 800,Primary Production,1
1000,Not in any Significant Urban Area (NSW),101051540,Goulburn Region,800 - 1000,Primary Production,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Community/Public Use,3
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Conservation/Limited Use,16
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Industrial,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Mixed Use/Centre,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Primary Production,2
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Residential,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,< 200,Special Use N.E.S,18
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Business/Commercial,11
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Community/Public Use,36
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Conservation/Limited Use,615
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Industrial,139
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Infrastructure/Utilities,45
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Mixed Use/Centre,33
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Primary Production,143
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Residential,49
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,1000 - 10000,Special Use N.E.S,17
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Business/Commercial,2
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Community/Public Use,67
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Conservation/Limited Use,759
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Industrial,58
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Infrastructure/Utilities,232
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Mixed Use/Centre,16
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Primary Production,1037
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Residential,5
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,> 10000,Special Use N.E.S,44
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,200 - 400,Community/Public Use,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,200 - 400,Conservation/Limited Use,70
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,200 - 400,Industrial,5
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,200 - 400,Infrastructure/Utilities,3
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,200 - 400,Mixed Use/Centre,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,200 - 400,Primary Production,4
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,200 - 400,Special Use N.E.S,37
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,400 - 600,Community/Public Use,3
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,400 - 600,Conservation/Limited Use,195
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,400 - 600,Industrial,10
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,400 - 600,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,400 - 600,Mixed Use/Centre,6
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,400 - 600,Primary Production,4
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,400 - 600,Residential,17
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,600 - 800,Community/Public Use,55
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,600 - 800,Conservation/Limited Use,234
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,600 - 800,Industrial,4
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,600 - 800,Infrastructure/Utilities,3
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,600 - 800,Mixed Use/Centre,9
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,600 - 800,Primary Production,2
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,600 - 800,Residential,49
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Community/Public Use,4
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Conservation/Limited Use,150
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Industrial,2
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Infrastructure/Utilities,3
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Mixed Use/Centre,5
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Primary Production,5
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Residential,35
1000,Not in any Significant Urban Area (NSW),102011030,Calga - Kulnura,800 - 1000,Special Use N.E.S,1
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,< 200,Conservation/Limited Use,1
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,< 200,Mixed Use/Centre,1
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,< 200,Primary Production,10
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,< 200,Transition/Masterplan,1
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Community/Public Use,3
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Conservation/Limited Use,37
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Industrial,4
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Infrastructure/Utilities,7
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Mixed Use/Centre,58
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Primary Production,152
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Residential,117
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,1000 - 10000,Transition/Masterplan,2
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Community/Public Use,8
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Conservation/Limited Use,372
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Industrial,37
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Infrastructure/Utilities,13
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Mixed Use/Centre,15
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Primary Production,637
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Residential,200
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,> 10000,Transition/Masterplan,16
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,200 - 400,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,200 - 400,Primary Production,7
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,400 - 600,Conservation/Limited Use,1
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,400 - 600,Mixed Use/Centre,2
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,400 - 600,Primary Production,2
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,600 - 800,Community/Public Use,1
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,600 - 800,Conservation/Limited Use,2
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,600 - 800,Mixed Use/Centre,11
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,600 - 800,Primary Production,3
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,800 - 1000,Mixed Use/Centre,9
1000,Not in any Significant Urban Area (NSW),102021049,Jilliby - Yarramalong,800 - 1000,Primary Production,2
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,< 200,Business/Commercial,4
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,< 200,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,< 200,Mixed Use/Centre,2
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,< 200,Primary Production,16
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,< 200,Residential,5
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,1000 - 10000,Business/Commercial,122
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,1000 - 10000,Community/Public Use,3
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,1000 - 10000,Industrial,15
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,1000 - 10000,Infrastructure/Utilities,18
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,1000 - 10000,Mixed Use/Centre,112
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,1000 - 10000,Primary Production,230
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,1000 - 10000,Residential,1227
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Business/Commercial,35
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Community/Public Use,5
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Conservation/Limited Use,12
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Industrial,3
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Infrastructure/Utilities,33
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Mixed Use/Centre,9
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Primary Production,1063
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,> 10000,Residential,70
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,200 - 400,Business/Commercial,7
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,200 - 400,Community/Public Use,1
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,200 - 400,Infrastructure/Utilities,2
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,200 - 400,Mixed Use/Centre,41
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,200 - 400,Primary Production,25
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,200 - 400,Residential,121
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,400 - 600,Business/Commercial,38
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,400 - 600,Community/Public Use,5
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,400 - 600,Infrastructure/Utilities,2
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,400 - 600,Mixed Use/Centre,56
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,400 - 600,Primary Production,38
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,400 - 600,Residential,646
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,600 - 800,Business/Commercial,257
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,600 - 800,Community/Public Use,1
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,600 - 800,Industrial,1
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,600 - 800,Mixed Use/Centre,77
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,600 - 800,Primary Production,32
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,600 - 800,Residential,668
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,800 - 1000,Business/Commercial,155
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,800 - 1000,Community/Public Use,1
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,800 - 1000,Industrial,6
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,800 - 1000,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,800 - 1000,Mixed Use/Centre,250
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,800 - 1000,Primary Production,34
1000,Not in any Significant Urban Area (NSW),106011107,Branxton - Greta - Pokolbin,800 - 1000,Residential,642
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,< 200,Infrastructure/Utilities,1
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,< 200,Mixed Use/Centre,2
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,< 200,Primary Production,25
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,1000 - 10000,Business/Commercial,2
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,1000 - 10000,Conservation/Limited Use,120
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,1000 - 10000,Industrial,1
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,1000 - 10000,Infrastructure/Utilities,18
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,1000 - 10000,Mixed Use/Centre,1059
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,1000 - 10000,Primary Production,742
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,1000 - 10000,Residential,309
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,> 10000,Conservation/Limited Use,292
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,> 10000,Industrial,5
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,> 10000,Infrastructure/Utilities,21
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,> 10000,Mixed Use/Centre,22
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,> 10000,Primary Production,3778
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,> 10000,Residential,90
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,200 - 400,Infrastructure/Utilities,2
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,200 - 400,Mixed Use/Centre,2
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,200 - 400,Primary Production,25
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,200 - 400,Residential,2
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,400 - 600,Conservation/Limited Use,3
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,400 - 600,Mixed Use/Centre,60
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,400 - 600,Primary Production,25
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,400 - 600,Residential,10
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,600 - 800,Conservation/Limited Use,2
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,600 - 800,Mixed Use/Centre,343
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,600 - 800,Primary Production,57
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,600 - 800,Residential,12
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,800 - 1000,Conservation/Limited Use,62
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,800 - 1000,Infrastructure/Utilities,2
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,800 - 1000,Mixed Use/Centre,313
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,800 - 1000,Primary Production,91
1000,Not in any Significant Urban Area (NSW),106011109,Cessnock Region,800 - 1000,Residential,9
